target_x,target_y,gaze_x,gaze_y,error
0.5,0.5,0.2183037663405911,0.0,0.573893
0.5,0.5,0.21083940325932626,0.0,0.577593
0.5,0.5,0.19248394748826536,0.0,0.586998
0.5,0.5,0.1838240159872197,0.0,0.59158
0.5,0.5,0.19187440364017494,0.0,0.587317
0.5,0.5,0.20104277153343658,0.0,0.582559
0.5,0.5,0.21541223088205957,0.0,0.575317
0.5,0.5,0.2359899442656827,0.0,0.565421
0.5,0.5,0.25458607266164257,0.0,0.556981
0.5,0.5,0.2660958013569091,0.0,0.552006
0.5,0.5,0.27364281811754265,0.006948915232464759,0.542528
0.5,0.5,0.2862693864425332,0.04129640873164641,0.506053
0.5,0.5,0.3005730965645804,0.0630827453844107,0.480279
0.5,0.5,0.3141034177298062,0.09155083487349011,0.448763
0.5,0.5,0.3075459209057989,0.14761977461885445,0.40151
0.5,0.5,0.31832407262434187,0.195948170511749,0.354194
0.5,0.5,0.3552079549988878,0.25009713383622634,0.288819
0.5,0.5,0.43204235200625835,0.29342305668724283,0.217468
0.5,0.5,0.5233987605868544,0.3467355606513099,0.15504
0.5,0.5,0.6225924080314329,0.38291882346212813,0.16952
0.5,0.5,0.7223556155223059,0.413995058624598,0.238409
0.5,0.5,0.7923192816139024,0.4447283413169133,0.297499
0.5,0.5,0.8434138333181085,0.47225489387748965,0.344533
0.5,0.5,0.8981607690769673,0.49483999510427,0.398194
0.5,0.5,0.9379047244118288,0.5167855099909858,0.438226
0.5,0.5,0.969812635381853,0.5297767302549734,0.470755
0.5,0.5,0.9951218315574044,0.5396583008804512,0.496708
0.5,0.5,1.0,0.5396583008804512,0.50157
0.5,0.5,1.0,0.5468453652767544,0.50219
0.5,0.5,1.0,0.552430880317017,0.502741
0.5,0.5,1.0,0.5479643481710793,0.502295
0.5,0.5,1.0,0.5393303519038561,0.501544
0.5,0.5,1.0,0.5229736332806094,0.500528
0.5,0.5,0.9633786142829277,0.47099397392108144,0.464286
0.5,0.5,0.8530965179677834,0.41482990736069714,0.363223
0.5,0.5,0.7202869955321742,0.3559704896848558,0.263194
0.5,0.5,0.5960474393063152,0.2887955030257915,0.232018
0.5,0.5,0.46816835426291514,0.23745019949168303,0.264472
0.5,0.5,0.37539846490824175,0.1840077637215009,0.339671
0.5,0.5,0.29413048980084655,0.13463512766284008,0.419373
0.5,0.5,0.24344831932180327,0.09433146743818868,0.479985
0.5,0.5,0.20594244415883695,0.04533400639500512,0.541471
0.5,0.5,0.17144011890149896,0.0,0.598291
0.5,0.5,0.1461808160344582,0.0,0.612526
0.5,0.5,0.12846759601928812,0.0,0.622926
0.5,0.5,0.10492303022892227,0.0,0.637249
0.5,0.5,0.08293418488502041,0.0,0.65111
0.5,0.5,0.06118154594403583,0.0,0.665253
0.5,0.5,0.054714510347946894,0.0,0.669537
0.5,0.5,0.04895042069193699,0.04139567967962492,0.643245
0.5,0.5,0.061367485584885514,0.09688082770242523,0.595738
0.5,0.5,0.07232446563905234,0.13845609483989113,0.560018
0.5,0.5,0.07232446563905234,0.17004203792833628,0.540165
0.5,0.5,0.08486032920773545,0.19124176578562835,0.517371
0.5,0.5,0.08903558455274382,0.21456707318703067,0.500364
0.5,0.5,0.08903558455274382,0.22952643408370133,0.491983
0.5,0.5,0.10539421733004124,0.2434044806168233,0.470696
0.5,0.5,0.1164083131138206,0.25372138293302804,0.455846
0.5,0.5,0.1258316978947464,0.26749087815725864,0.440525
0.5,0.5,0.1385573086253808,0.2832150474985734,0.421469
0.5,0.5,0.1461668472143829,0.3031986433827163,0.404881
0.5,0.5,0.17179175233856142,0.3266263497747351,0.371186
0.5,0.5,0.1997349875965418,0.3463494629798386,0.337294
0.5,0.5,0.23019306854788157,0.3681394733693326,0.300305
0.5,0.5,0.26064772985187756,0.38701389034834055,0.26468
0.5,0.5,0.278369936415017,0.3985027883142831,0.243765
0.5,0.5,0.2948171308215547,0.4070998324416997,0.225234
0.5,0.5,0.3131878405584835,0.4070998324416997,0.208637
0.5,0.5,0.35247400442287347,0.4132033956256217,0.171165
