source,target_x,target_y,gaze_x,gaze_y,error
balloon_pop,0.5,0.5,0.5900905374860534,0.3479860244040584,0.176705
balloon_pop,0.5,0.5,0.5900905374860534,0.34067146821921546,0.183035
balloon_pop,0.5,0.5,0.5900905374860534,0.3353085380497337,0.187722
balloon_pop,0.5,0.5,0.5869039144914365,0.3353085380497337,0.186214
balloon_pop,0.5,0.5,0.58203085159429,0.3298756114768485,0.188869
balloon_pop,0.5,0.5,0.58203085159429,0.32516413015291445,0.193123
balloon_pop,0.5,0.5,0.5783111841147117,0.33579446413106767,0.181923
balloon_pop,0.5,0.5,0.5717162021971405,0.3435642467360807,0.172091
balloon_pop,0.5,0.5,0.5593791507918814,0.33659296601409117,0.173861
balloon_pop,0.5,0.5,0.5395055053754859,0.31915194383450773,0.185113
balloon_pop,0.5,0.5,0.5225067878224641,0.2846471521959394,0.216526
balloon_pop,0.5,0.5,0.49881434951887194,0.23983000691079454,0.260173
balloon_pop,0.5,0.5,0.4493133075805586,0.18918437224210796,0.314921
balloon_pop,0.5,0.5,0.39599929671124456,0.140002325668509,0.374719
balloon_pop,0.5,0.5,0.3569697516520838,0.0953359276974167,0.429198
balloon_pop,0.5,0.5,0.3013871567657392,0.05091988976440401,0.49104
balloon_pop,0.5,0.5,0.2520094720303306,0.012146376391748863,0.547266
balloon_pop,0.5,0.5,0.21178427728821475,0.0,0.577121
balloon_pop,0.5,0.5,0.1881287882017978,0.0,0.589291
balloon_pop,0.5,0.5,0.1837525844366254,0.0,0.591618
balloon_pop,0.5,0.5,0.19352403125575834,0.014832458812611748,0.57386
balloon_pop,0.5,0.5,0.17963680176499947,0.05249259284474091,0.550359
balloon_pop,0.5,0.5,0.16110709406665674,0.09954388907439174,0.524608
balloon_pop,0.5,0.5,0.14498425639718385,0.1580478228998296,0.492917
balloon_pop,0.5,0.5,0.18873566550684395,0.23128416316884798,0.41121
balloon_pop,0.5,0.5,0.24167008276713928,0.2784182804127814,0.340342
balloon_pop,0.5,0.5,0.26300324140845266,0.30694660360412385,0.305675
balloon_pop,0.5,0.5,0.28868953079442206,0.3284214264498972,0.272197
balloon_pop,0.5,0.5,0.342581446360156,0.35373330807169495,0.214883
balloon_pop,0.5,0.5,0.4285490390396014,0.38936570304020746,0.131701
balloon_pop,0.5,0.5,0.5472580077317057,0.43651952573426045,0.07914
balloon_pop,0.5,0.5,0.6335146696431286,0.4674270380723191,0.137431
balloon_pop,0.5,0.5,0.7063110295064943,0.484626745275917,0.206883
balloon_pop,0.5,0.5,0.7721533014347106,0.4911448842644434,0.272297
balloon_pop,0.5,0.5,0.8191191254001055,0.4911448842644434,0.319242
balloon_pop,0.5,0.5,0.850997864348044,0.4911448842644434,0.35111
balloon_pop,0.5,0.5,0.8666394919308698,0.4986569543452025,0.366642
balloon_pop,0.5,0.5,0.8739349677572501,0.506778040133044,0.373996
balloon_pop,0.5,0.5,0.8704025609899537,0.506778040133044,0.370465
balloon_pop,0.5,0.5,0.8597671545097652,0.5031139092974718,0.359781
balloon_pop,0.5,0.5,0.8497768907803807,0.4983026028654293,0.349781
balloon_pop,0.5,0.5,0.8415187092788879,0.4845763676759933,0.341867
balloon_pop,0.5,0.5,0.8097445923363908,0.44932826277076005,0.313862
balloon_pop,0.5,0.5,0.7947382617944403,0.42326270665787935,0.304564
balloon_pop,0.5,0.5,0.7675999896110854,0.3864246772068291,0.290705
balloon_pop,0.5,0.5,0.7545579246724412,0.36142553133113886,0.289832
