screen_x,screen_y,gaze_x,gaze_y
0.5,0.5,0.5548567955537075,0.3120426612813792
0.1,0.1,0.5428256064845436,0.3126624212986035
0.9,0.1,0.5795982208180289,0.3109380140741711
0.1,0.9,0.5456645025707799,0.31363893894853656
0.9,0.9,0.6441523614107088,0.31673983687851254
#,screen_width,1416
#,screen_height,783
